OLD_ADDR,longitude,latitude,SBWY_ROUT_LN,SBWY_STNS_NM,ROAD_NM_ADDR,TELNO
경기도 성남시 수정구 신흥동 7 산성역(8호선),127.14968543226065,37.454004758251365,8호선,산성,경기도 성남시 수정구 수정로 지하365(신흥동),02-6311-8221
경기도 성남시 수정구 단대동 96 남한산성입구역(8호선),127.15884908384486,37.44973121436482,8호선,남한산성입구(성남법원?검찰청),경기도 성남시 수정구 산성대로 지하445(단대동),02-6311-8231
경기도 성남시 수정구 신흥동 2467 단대오거리역(8호선),127.14844637428894,37.444541108703135,8호선,단대오거리,경기도 성남시 수정구 산성대로 지하365(신흥동),02-6311-8241
경기도 성남시 수정구 신흥동 2467 신흥역(8호선),127.14844637428894,37.444541108703135,8호선,신흥,경기도 성남시 수정구 산성대로 지하280(신흥동),02-6311-8251
경기도 성남시 수정구 수진동 2205-1 수진역(8호선),127.14063975084773,37.437751088880646,8호선,수진,경기도 성남시 수정구 산성대로 지하200(수진동),02-6311-8261
경기도 성남시 수정구 수진동 4518 모란역(8호선),127.12957278842973,37.43426417792802,8호선,모란,경기도 성남시 수정구 산성대로 지하100(수진동),02-6311-8271
서울특별시 강남구 논현동 279-165 언주역(9호선),127.03408974086335,37.507459850808964,9호선,언주,서울특별시 강남구 봉은사로 지하201(논현동),02-2656-0926
서울특별시 강남구 삼성동 111-114 선정릉역(9호선),127.04347387653668,37.511490583110884,9호선,선정릉,서울특별시 강남구 선릉로 지하580(삼성동),02-2656-0927
서울특별시 강남구 삼성동 111-147 삼성중앙역(9호선),127.04829299632155,37.5115782422902,9호선,삼성중앙,서울특별시 강남구 봉은사로 지하501(삼성동),02-2656-0928
서울특별시 강남구 삼성동 172 봉은사역(9호선),127.06334184833011,37.51481029016801,9호선,봉은사,서울특별시 강남구 봉은사로 지하601(삼성동),02-2656-0929
서울특별시 송파구 잠실동 123 종합운동장역(9호선),127.07686559072803,37.51154586681335,9호선,종합운동장,서울특별시 송파구 올림픽로 49(잠실동),02-2656-0930
서울특별시 송파구 잠실동 347 삼전역(9호선),127.08762480874552,37.5040240900607,9호선,삼전,서울특별시 송파구 백제고분로 지하189(잠실동),02-2656-0931
서울특별시 송파구 삼전동 157-1 석촌고분역(9호선),127.09694594677168,37.503187354051406,9호선,석촌고분,서울특별시 송파구 백제고분로 지하274(삼전동),02-2656-0932
서울특별시 송파구 석촌동 209 석촌역(9호선),127.10557918911707,37.506782024509704,9호선,석촌,서울특별시 송파구 송파대로 지하439(석촌동),02-2656-0933
서울특별시 송파구 방이동 2 송파나루역(9호선),127.1127936831653,37.511070749365246,9호선,송파나루,서울특별시 송파구 백제고분로 지하446(방이동),02-2656-0934
서울특별시 송파구 방이동 88-17 한성백제역(9호선),127.11343167007695,37.518169255351694,9호선,한성백제,서울특별시 송파구 위례성대로 지하29(방이동),02-2656-0935
서울특별시 송파구 방이동 89-28 올림픽공원역(9호선),127.13097514766757,37.51626838285428,9호선,올림픽공원(한국체대),서울특별시 송파구 양재대로 지하1233(방이동),02-2656-0936
서울특별시 강동구 둔촌동 227-7 둔촌오륜역(9호선),127.14055711635882,37.518549612102994,9호선,둔촌오륜,서울특별시 강동구 강동대로 지하303(둔촌동),02-2656-0937
서울특별시 강동구 둔촌동 8-1 중앙보훈병원역(9호선),127.14834880144522,37.528334424738375,9호선,중앙보훈병원,서울특별시 강동구 동남로 지하625(둔촌동),02-2656-0938
